occupation	participant	sentence	pronoun_type	word	pronoun	uid	confuse_pronoun
technician	customer	The technician thought that he had been having a bad day. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	he	eo0	
technician	customer	The technician thought that she had been having a bad day. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	she	eo0	
technician	customer	The technician thought that they had been having a bad day. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	they	eo0	
technician	customer	The technician thought that xe had been having a bad day. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	xe	eo0	
technician	customer	The technician stifled a yawn; he felt tired. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	he	eo1	
technician	customer	The technician stifled a yawn; she felt tired. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	she	eo1	
technician	customer	The technician stifled a yawn; they felt tired. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	they	eo1	
technician	customer	The technician stifled a yawn; xe felt tired. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	xe	eo1	
technician	customer	The technician needed coffee because he had gotten up very early. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	he	eo2	
technician	customer	The technician needed coffee because she had gotten up very early. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	she	eo2	
technician	customer	The technician needed coffee because they had gotten up very early. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	they	eo2	
technician	customer	The technician needed coffee because xe had gotten up very early. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	xe	eo2	
technician	customer	The technician was unhappy that he had worn uncomfortable shoes. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	he	eo3	
technician	customer	The technician was unhappy that she had worn uncomfortable shoes. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	she	eo3	
technician	customer	The technician was unhappy that they had worn uncomfortable shoes. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	they	eo3	
technician	customer	The technician was unhappy that xe had worn uncomfortable shoes. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	xe	eo3	
technician	customer	The technician was hungry because he had not eaten in hours. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	he	eo4	
technician	customer	The technician was hungry because she had not eaten in hours. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	she	eo4	
technician	customer	The technician was hungry because they had not eaten in hours. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	they	eo4	
technician	customer	The technician was hungry because xe had not eaten in hours. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	xe	eo4	
technician	customer	The technician thought that he had been having a good day. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	he	eo5	
